bgg_id,score,score_weighted,rank_weighted,rank
3517,0.0229546,0.0213022,6816,6589
245025,0.0229342,0.0216155,6777,6590
5559,0.022924,0.0236143,6559,6591
164627,0.0229188,0.0218487,6752,6592
13945,0.0228984,0.0177725,7269,6593
256980,0.022883,0.0187503,7133,6594
306680,0.0228728,0.0216836,6764,6595
23890,0.0228575,0.0273335,6240,6596
5618,0.0228575,0.023321,6590,6597
166418,0.0228523,0.0246481,6467,6598
40432,0.0227756,0.0163034,7473,6599
217949,0.0227705,0.0251371,6428,6600
245645,0.0227654,0.0296596,6046,6601
279307,0.0227654,0.0250324,6437,6602
126119,0.0227552,0.0245447,6480,6603
13172,0.0227091,0.0225681,6676,6604
169675,0.0226989,0.0201449,6935,6605
256442,0.0226938,0.0263749,6315,6606
142645,0.0226887,0.0191639,7068,6607
283095,0.0226785,0.024283,6501,6608
254193,0.0226733,0.022609,6668,6609
30241,0.0226631,0.0251814,6423,6610
281549,0.0226529,0.0176526,7290,6611
27172,0.0226375,0.0290894,6082,6612
154098,0.0226375,0.0277454,6202,6613
7451,0.0226222,0.0297917,6034,6614
170195,0.0226171,0.0197883,6985,6615
236125,0.022612,0.0280058,6188,6616
309003,0.022571,0.0194508,7025,6617
34276,0.0225659,0.0263692,6316,6618
149119,0.0225455,0.0253359,6403,6619
296605,0.0225352,0.0237109,6551,6620
195842,0.022525,0.0206349,6877,6621
38931,0.0225097,0.0267881,6286,6622
329670,0.0224943,0.0214715,6797,6623
194986,0.0224892,0.0220223,6737,6624
16085,0.0224892,0.0215599,6785,6625
2249,0.0224892,0.0198954,6967,6626
9735,0.0224687,0.0246346,6470,6627
226312,0.0224636,0.0286488,6129,6628
99313,0.0224636,0.0237581,6543,6629
83092,0.0224585,0.0266171,6301,6630
163432,0.0224585,0.0237213,6549,6631
264212,0.0224483,0.0228052,6648,6632
3874,0.0224381,0.0196793,6997,6633
141467,0.0224227,0.0253164,6404,6634
238136,0.0224176,0.0187908,7121,6635
33624,0.0224176,0.015404,7617,6636
39994,0.0224074,0.020525,6894,6637
248584,0.0223971,0.0209579,6851,6638
254759,0.022392,0.0173412,7330,6639
200672,0.0223869,0.0221048,6727,6640
3267,0.0223818,0.0216597,6768,6641
262135,0.0223716,0.0270152,6272,6642
847,0.0223562,0.0182233,7204,6643
270233,0.0223255,0.0276344,6211,6644
13493,0.0223204,0.0193708,7032,6645
4287,0.0223102,0.0269829,6274,6646
256802,0.0222949,0.029089,6083,6647
158883,0.0222897,0.0194014,7028,6648
431,0.0222642,0.027259,6246,6649
236108,0.0222437,0.0214363,6801,6650
248763,0.0222386,0.0260541,6344,6651
2562,0.0222335,0.0255679,6386,6652
187590,0.0222232,0.0214782,6794,6653
233969,0.022213,0.0224755,6687,6654
40455,0.0221926,0.0242875,6500,6655
12266,0.0221823,0.0251861,6422,6656
3637,0.0221772,0.0259189,6358,6657
141653,0.0221619,0.0256756,6378,6658
214,0.0221619,0.0188967,7107,6659
1797,0.0221619,0.0145675,7775,6660
208340,0.0221568,0.02661,6303,6661
219122,0.0221568,0.0228097,6647,6662
217531,0.0221465,0.0227375,6652,6663
203381,0.0221465,0.0213641,6808,6664
2060,0.0221414,0.0188206,7118,6665
53624,0.0221363,0.0294645,6059,6666
126426,0.022121,0.023402,6578,6667
197377,0.0221107,0.0286192,6135,6668
130499,0.0221056,0.0215179,6791,6669
159405,0.0221005,0.0195226,7015,6670
2975,0.0220749,0.0247246,6459,6671
11274,0.0220749,0.0231446,6613,6672
4864,0.0220647,0.0171389,7351,6673
17162,0.0220596,0.0236822,6553,6674
190017,0.0220596,0.021674,6766,6675
263351,0.0220442,0.0174294,7314,6676
147305,0.0220391,0.0246975,6461,6677
135654,0.022034,0.0233596,6581,6678
204734,0.022034,0.0190535,7085,6679
183831,0.022034,0.0169999,7369,6680
159868,0.0220187,0.0231272,6616,6681
251037,0.0219931,0.0203156,6913,6682
91739,0.021988,0.0291186,6079,6683
134711,0.0219726,0.0236677,6555,6684
170922,0.0219675,0.0228755,6641,6685
4226,0.0219573,0.0287539,6113,6686
234621,0.0219419,0.0272074,6251,6687
154125,0.0219419,0.0259001,6360,6688
310612,0.0219368,0.0199535,6951,6689
11093,0.0219164,0.0201671,6934,6690
21769,0.0219113,0.0262857,6322,6691
224303,0.0219113,0.022045,6735,6692
285895,0.021901,0.0229803,6628,6693
309081,0.0218652,0.0253426,6401,6694
9044,0.0218601,0.0268033,6284,6695
292030,0.0218499,0.0227848,6649,6696
15064,0.021809,0.0190273,7091,6697
32114,0.0217936,0.0266806,6293,6698
252479,0.0217885,0.0236386,6556,6699
262198,0.0217885,0.0232604,6596,6700
278297,0.0217885,0.0213063,6815,6701
58782,0.0217732,0.0186934,7143,6702
250865,0.0217527,0.0216848,6763,6703
298528,0.0217476,0.0235842,6562,6704
131493,0.0217425,0.0210792,6838,6705
10890,0.0217425,0.019876,6972,6706
12372,0.0217425,0.0194998,7018,6707
2665,0.0217374,0.0198867,6968,6708
32341,0.0217322,0.0192477,7052,6709
154003,0.0217169,0.0252765,6410,6710
155173,0.0217169,0.0242968,6499,6711
158861,0.0217169,0.0241909,6509,6712
190700,0.0217015,0.0227253,6654,6713
17025,0.0217015,0.0213874,6806,6714
4342,0.0216964,0.0214058,6803,6715
59008,0.0216913,0.0205335,6893,6716
118610,0.0216606,0.0248467,6449,6717
21632,0.0216606,0.0226312,6666,6718
32346,0.0216453,0.0205713,6886,6719
239189,0.0216453,0.0170564,7359,6720
173875,0.0216351,0.0185956,7155,6721
286062,0.0216248,0.0238219,6540,6722
310641,0.0216248,0.02091,6855,6723
194400,0.0216248,0.0190628,7083,6724
28907,0.0216044,0.0256756,6377,6725
26474,0.0216044,0.0247573,6456,6726
260239,0.0215993,0.0222975,6705,6727
37988,0.021589,0.0163583,7466,6728
338,0.0215839,0.0311143,5948,6729
124838,0.0215788,0.0270642,6267,6730
76728,0.0215788,0.0237052,6552,6731
279975,0.0215686,0.0271522,6257,6732
150016,0.0215686,0.0246385,6469,6733
246532,0.0215686,0.0196447,7002,6734
